gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TotalServices,Recency_score,Frequency_score,Monetary_score,treatment,contract_score,tenure_norm,charge_norm,persuadability,churn_observed,persuadability_bin
Female,0,No,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.1,302.45,0,0,3,0,1,0,0.3,0.7916666666666666,0.16926315789473687,0.4213526315789473,0,Medium
Male,0,No,No,11,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,69.35,712.25,0,3,4,3,3,1,1.0,0.8472222222222222,0.584,0.8709666666666667,0,High
Female,0,Yes,Yes,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,1336.65,0,0,1,0,1,1,0.3,0.11111111111111116,0.16673684210526316,0.21668070175438597,0,Low
Male,1,Yes,No,72,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),74.4,5360.75,0,5,1,5,3,1,0.0,0.0,0.6265263157894737,0.12530526315789475,0,Low
Male,1,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),93.05,6735.05,0,4,1,4,4,1,0.0,0.0,0.783578947368421,0.15671578947368422,0,Low
Female,0,No,Yes,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,51.2,51.2,0,1,5,1,2,1,1.0,0.9861111111111112,0.43115789473684213,0.8820649122807018,0,High
Female,0,No,Yes,15,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Credit card (automatic),65.6,1010.0,0,4,3,4,3,1,0.3,0.7916666666666666,0.5524210526315789,0.49798421052631575,0,Medium
Female,0,No,No,60,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),80.55,4847.05,0,4,1,4,3,0,0.3,0.16666666666666663,0.6783157894736842,0.33566315789473683,0,Low
Male,0,No,No,56,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,52.7,3019.7,0,2,1,2,2,0,0.3,0.2222222222222222,0.44378947368421057,0.3054245614035088,0,Low
Female,0,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.85,161.65,0,0,4,0,1,0,0.0,0.8888888888888888,0.17557894736842106,0.3017824561403509,0,Low
Female,0,No,No,3,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),80.1,217.55,1,2,5,2,3,1,1.0,0.9583333333333334,0.6745263157894736,0.9224052631578947,1,High
Female,0,Yes,No,49,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),52.15,2583.75,0,0,1,0,2,1,1.0,0.3194444444444444,0.4391578947368421,0.6836649122807017,0,Medium
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.2,146.05,1,1,5,1,3,1,1.0,0.9722222222222222,0.6753684210526316,0.926740350877193,1,High
Female,0,No,No,6,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),98.15,567.45,1,5,5,5,4,0,1.0,0.9166666666666666,0.8265263157894738,0.9403052631578946,1,High
Male,0,No,No,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),114.95,7711.25,0,6,1,6,4,1,0.0,0.02777777777777779,0.968,0.20193333333333333,0,Low
Male,0,No,No,12,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,112.95,1384.75,1,5,4,5,4,1,1.0,0.8333333333333334,0.9511578947368421,0.9402315789473684,1,High
Male,1,Yes,No,52,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),104.45,5481.25,0,5,1,5,4,1,0.3,0.2777777777777778,0.8795789473684211,0.4092491228070176,0,Medium
Female,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),113.65,8124.2,0,6,1,6,4,1,0.0,0.0,0.9570526315789474,0.19141052631578948,0,Low
Female,0,No,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.6,827.3,0,0,2,0,1,0,0.0,0.4444444444444444,0.17347368421052634,0.1680280701754386,0,Low
Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.9,70.9,1,0,5,0,3,1,1.0,0.9861111111111112,0.5970526315789474,0.9152438596491229,0,High
Female,1,No,No,3,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,86.85,220.95,1,2,5,2,3,0,1.0,0.9583333333333334,0.7313684210526316,0.9337736842105263,1,High
Female,1,No,No,40,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.55,3673.6,0,2,2,2,4,0,1.0,0.4444444444444444,0.7709473684210526,0.7875228070175438,0,Medium
Male,0,No,Yes,1,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,49.85,49.85,0,1,5,1,2,0,1.0,0.9861111111111112,0.41978947368421055,0.8797912280701755,0,High
Male,0,Yes,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.8,576.65,0,0,2,0,1,1,0.3,0.5833333333333333,0.16673684210526316,0.3583473684210526,0,Low
Male,0,Yes,Yes,23,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,99.85,2331.3,1,4,3,4,4,1,1.0,0.6805555555555556,0.8408421052631578,0.8723350877192981,1,High
Male,0,Yes,Yes,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,74.5,1,0,5,0,3,1,1.0,0.9861111111111112,0.6273684210526316,0.9213070175438597,0,High
Female,1,Yes,No,44,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,104.15,4495.65,0,4,2,4,4,1,1.0,0.38888888888888884,0.8770526315789474,0.7920771929824562,0,Medium
Male,0,No,No,65,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,109.15,6941.2,1,5,1,5,4,1,1.0,0.09722222222222221,0.9191578947368422,0.7129982456140351,1,Medium
Female,1,No,No,7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,48.2,340.35,0,1,4,1,2,1,1.0,0.9027777777777778,0.4058947368421053,0.8520122807017543,0,High
Male,1,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.1,1789.9,0,0,1,0,1,0,0.0,0.0,0.2113684210526316,0.042273684210526324,0,Low
Female,1,No,No,8,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.15,908.55,0,3,4,3,4,0,1.0,0.8888888888888888,0.8433684210526317,0.9353403508771929,0,High
Female,0,No,No,16,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),65.2,1043.35,1,2,3,2,3,0,1.0,0.7777777777777778,0.5490526315789473,0.8431438596491229,1,High
Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.5,6822.15,1,3,1,3,4,0,1.0,0.08333333333333337,0.8378947368421052,0.6925789473684211,0,Medium
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,71.55,71.55,1,0,5,0,3,0,1.0,0.9861111111111112,0.6025263157894737,0.9163385964912282,0,High
Male,0,No,Yes,3,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,55.9,157.55,0,2,5,2,2,0,1.0,0.9583333333333334,0.4707368421052631,0.8816473684210526,0,High
Male,0,Yes,No,53,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,93.9,5029.2,1,3,1,3,4,0,1.0,0.26388888888888884,0.7907368421052632,0.7373140350877192,1,Medium
Male,1,Yes,No,8,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),64.4,581.7,0,3,4,3,3,1,1.0,0.8888888888888888,0.5423157894736843,0.8751298245614034,0,High
Male,1,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),108.4,7318.2,1,5,1,5,4,0,0.0,0.04166666666666663,0.9128421052631579,0.19506842105263159,1,Low
Female,0,No,No,5,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,85.3,420.45,0,2,5,2,3,0,1.0,0.9305555555555556,0.7183157894736842,0.9228298245614035,0,High
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Mailed check,107.45,7576.7,0,5,1,5,4,0,0.0,0.0,0.9048421052631579,0.18096842105263158,0,Low
Female,0,Yes,No,13,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),48.75,633.4,1,3,3,3,2,1,1.0,0.8194444444444444,0.4105263157894737,0.827938596491228,0,High
Female,0,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.65,321.65,1,1,5,1,3,0,1.0,0.9444444444444444,0.7212631578947369,0.9275859649122807,1,High
Female,0,Yes,Yes,54,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),91.3,4965.0,0,6,1,6,4,0,0.0,0.25,0.7688421052631579,0.22876842105263157,0,Low
Male,0,Yes,No,72,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),85.95,6151.9,0,5,1,5,3,1,0.0,0.0,0.7237894736842105,0.1447578947368421,0,Low
Male,0,No,No,12,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.7,1253.9,1,4,4,4,4,0,1.0,0.8333333333333334,0.8985263157894737,0.9297052631578948,0,High
Male,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,25.15,25.15,1,0,5,0,1,0,1.0,0.9861111111111112,0.21178947368421053,0.8381912280701755,1,High
Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,45.2,45.2,0,0,5,0,2,0,1.0,0.9861111111111112,0.38063157894736843,0.8719596491228071,0,High
Female,0,Yes,No,54,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,110.35,5893.15,1,5,1,5,4,0,0.3,0.25,0.9292631578947368,0.41085263157894736,1,Medium
Male,0,Yes,Yes,69,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),79.2,5420.65,0,1,1,1,3,0,0.0,0.04166666666666663,0.6669473684210526,0.1458894736842105,0,Low
Female,0,No,No,48,Yes,No,DSL,Yes,Yes,No,No,No,No,Two year,No,Credit card (automatic),55.5,2627.35,0,2,2,2,2,0,0.0,0.33333333333333337,0.4673684210526316,0.19347368421052633,0,Low
Female,0,Yes,Yes,48,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),103.25,5037.55,1,4,2,4,4,1,0.3,0.33333333333333337,0.8694736842105263,0.42389473684210527,0,Medium
Female,0,Yes,No,8,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,90.25,743.75,0,2,4,2,4,1,1.0,0.8888888888888888,0.76,0.9186666666666666,0,High
Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,91.25,6589.6,0,6,1,6,4,1,0.0,0.01388888888888884,0.7684210526315789,0.15785087719298244,1,Low
Male,0,No,No,2,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,47.8,92.45,1,1,5,1,2,0,1.0,0.9722222222222222,0.4025263157894737,0.8721719298245614,0,High
Male,0,Yes,No,67,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),100.9,6733.15,0,4,1,4,4,1,0.3,0.06944444444444442,0.8496842105263158,0.34077017543859645,0,Low
Male,0,Yes,Yes,34,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.7,3410.0,0,3,2,3,4,0,1.0,0.5277777777777778,0.8227368421052632,0.822880701754386,0,Medium
Female,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.85,199.85,0,0,5,0,3,0,1.0,0.9583333333333334,0.5882105263157894,0.9051421052631579,1,High
Female,0,Yes,Yes,9,Yes,No,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,65.6,593.3,0,3,4,3,3,1,0.3,0.875,0.5524210526315789,0.5229842105263158,0,Medium
Male,0,Yes,Yes,71,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),104.65,7288.4,0,5,1,5,4,0,0.3,0.01388888888888884,0.8812631578947369,0.330419298245614,0,Low
Male,0,No,No,57,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),90.45,5229.8,0,2,1,2,4,0,0.0,0.20833333333333337,0.7616842105263159,0.21483684210526321,1,Low
Male,0,No,No,72,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),63.7,4464.8,0,6,1,6,3,1,0.0,0.0,0.536421052631579,0.10728421052631582,0,Low
Female,1,Yes,Yes,48,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.5,5068.05,0,5,2,5,4,1,1.0,0.33333333333333337,0.88,0.776,0,Medium
Male,0,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.1,401.85,0,0,3,0,1,0,0.3,0.75,0.16926315789473687,0.40885263157894736,0,Medium
Male,0,Yes,Yes,43,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),104.3,4451.85,0,4,2,4,4,1,0.3,0.4027777777777778,0.8783157894736842,0.44649649122807017,0,Medium
Female,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),93.25,6688.95,0,6,1,6,4,1,0.0,0.0,0.7852631578947369,0.1570526315789474,0,Low
Male,0,Yes,Yes,35,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),73.45,2661.1,0,3,2,3,3,0,0.3,0.5138888888888888,0.6185263157894737,0.4278719298245614,1,Medium
Male,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.7,73.05,0,0,5,0,1,0,1.0,0.9444444444444444,0.1743157894736842,0.8181964912280701,0,Medium
Female,0,Yes,Yes,49,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.25,1211.65,0,0,1,0,1,0,0.0,0.3194444444444444,0.21263157894736842,0.13835964912280702,0,Low
Female,0,Yes,Yes,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),100.5,7030.65,0,4,1,4,4,0,0.0,0.01388888888888884,0.8463157894736842,0.17342982456140352,0,Low
Male,0,Yes,Yes,11,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,90.6,1020.2,0,2,4,2,4,0,1.0,0.8472222222222222,0.7629473684210526,0.9067561403508771,0,High
Male,0,Yes,Yes,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),89.4,5597.65,0,6,1,6,3,1,0.0,0.125,0.752842105263158,0.1880684210526316,0,Low
Female,1,No,No,65,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),95.45,6223.3,0,3,1,3,4,1,1.0,0.09722222222222221,0.8037894736842105,0.6899245614035088,0,Medium
Female,0,No,Yes,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.45,1024.65,0,0,1,0,1,1,0.0,0.3194444444444444,0.17221052631578948,0.1302754385964912,0,Low
Female,0,No,No,29,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),98.6,2933.2,1,3,2,3,4,0,1.0,0.5972222222222222,0.8303157894736841,0.8452298245614035,1,High
Female,1,Yes,No,15,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,83.05,1258.3,1,2,3,2,3,1,1.0,0.7916666666666666,0.6993684210526315,0.8773736842105264,0,High
Female,0,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.95,82.9,0,0,5,0,1,1,1.0,0.9444444444444444,0.16799999999999998,0.8169333333333333,0,Medium
Female,0,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),109.15,7789.6,0,5,1,5,4,1,0.3,0.0,0.9191578947368422,0.3338315789473685,0,Low
Female,1,Yes,No,26,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.7,2067.0,0,2,2,2,3,0,1.0,0.6388888888888888,0.7216842105263158,0.8360035087719299,0,High
Female,1,Yes,No,35,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),102.05,3452.55,0,3,2,3,4,1,1.0,0.5138888888888888,0.8593684210526316,0.826040350877193,0,Medium
Female,0,No,No,57,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Electronic check,94.7,5468.95,0,3,1,3,4,0,0.3,0.20833333333333337,0.7974736842105263,0.37199473684210527,0,Low
Male,0,Yes,Yes,28,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,64.4,1802.15,0,2,2,2,3,0,1.0,0.6111111111111112,0.5423157894736843,0.7917964912280702,1,Medium
Female,0,Yes,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,26.8,733.55,0,0,2,0,1,0,0.3,0.6527777777777778,0.2256842105263158,0.39097017543859647,0,Medium
Female,0,Yes,No,47,Yes,No,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),66.05,3021.45,0,3,2,3,3,1,0.3,0.3472222222222222,0.5562105263157895,0.36540877192982457,0,Low
Female,0,Yes,Yes,57,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),65.2,3687.85,0,3,1,3,3,1,1.0,0.20833333333333337,0.5490526315789473,0.6723105263157895,0,Medium
Male,1,Yes,No,16,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.05,1391.15,0,1,3,1,3,0,1.0,0.7777777777777778,0.7162105263157894,0.8765754385964912,0,High
Male,0,No,No,5,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,55.8,274.35,0,2,5,2,2,0,1.0,0.9305555555555556,0.46989473684210525,0.8731456140350877,1,High
Male,0,Yes,No,17,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.4,1214.05,1,0,3,0,3,0,1.0,0.7638888888888888,0.592842105263158,0.8477350877192982,1,High
Female,1,No,No,56,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),104.75,5510.65,1,4,1,4,4,0,0.3,0.2222222222222222,0.8821052631578947,0.3930877192982456,1,Medium
Male,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.95,1322.85,0,0,1,0,1,0,0.0,0.0,0.16799999999999998,0.0336,0,Low
Female,1,No,No,21,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.25,1973.75,1,2,3,2,4,0,1.0,0.7083333333333333,0.7936842105263158,0.8712368421052631,1,High
Female,0,Yes,Yes,48,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,One year,No,Credit card (automatic),45.0,2196.3,0,3,2,3,2,1,0.3,0.33333333333333337,0.37894736842105264,0.3257894736842105,0,Low
Female,0,Yes,No,68,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),114.9,7843.55,0,6,1,6,4,0,0.0,0.05555555555555558,0.9675789473684211,0.2101824561403509,0,Low
Female,0,No,No,30,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),106.4,3211.9,0,4,2,4,4,0,1.0,0.5833333333333333,0.896,0.8542,1,High
Female,0,Yes,No,3,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,46.1,130.15,0,0,5,0,2,0,1.0,0.9583333333333334,0.3882105263157895,0.8651421052631578,1,High
Female,1,No,No,14,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Mailed check,39.7,692.35,0,3,3,3,2,1,0.0,0.8055555555555556,0.33431578947368423,0.30852982456140354,0,Low
Female,0,No,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.05,85.5,0,0,5,0,1,1,1.0,0.9444444444444444,0.1688421052631579,0.8171017543859649,0,Medium
Female,0,Yes,Yes,71,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),95.75,6849.4,0,3,1,3,4,1,0.0,0.01388888888888884,0.8063157894736842,0.1654298245614035,0,Low
Male,0,Yes,Yes,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,24.4,203.95,0,0,4,0,1,0,0.3,0.8888888888888888,0.2054736842105263,0.4577614035087719,1,Medium
Male,0,Yes,Yes,61,No,No phone service,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),33.6,2117.2,0,2,1,2,2,1,1.0,0.1527777777777778,0.28294736842105267,0.6024228070175439,1,Medium
Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),90.45,6565.85,0,3,1,3,4,0,0.0,0.0,0.7616842105263159,0.1523368421052632,0,Low
Female,0,No,No,5,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.0,424.75,0,1,5,1,3,1,1.0,0.9305555555555556,0.7073684210526315,0.920640350877193,0,High
Female,0,No,No,49,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),67.4,3306.85,0,4,1,4,3,1,0.0,0.3194444444444444,0.5675789473684211,0.20934912280701756,0,Low
Male,0,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.7,168.9,0,0,4,0,1,1,1.0,0.8888888888888888,0.16589473684210526,0.7998456140350877,0,Medium
Male,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.35,253.8,0,1,5,1,3,1,1.0,0.9583333333333334,0.6766315789473684,0.9228263157894736,0,High
Male,0,Yes,Yes,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.6,197.4,0,0,4,0,1,1,0.0,0.875,0.16505263157894737,0.2955105263157895,0,Low
Male,0,Yes,Yes,67,Yes,No,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),54.2,3838.2,0,2,1,2,2,0,0.0,0.06944444444444442,0.45642105263157895,0.11211754385964913,0,Low
Male,0,No,No,46,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),45.2,2065.15,0,0,2,0,2,1,1.0,0.36111111111111116,0.38063157894736843,0.6844596491228071,0,Medium
Female,0,Yes,No,67,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,One year,No,Mailed check,75.1,5064.45,0,4,1,4,3,0,0.3,0.06944444444444442,0.6324210526315789,0.2973175438596491,0,Low
Female,0,Yes,No,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,19.7,1140.05,0,0,1,0,1,1,0.3,0.23611111111111116,0.16589473684210526,0.25401228070175436,0,Low
Male,0,Yes,No,33,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),72.75,2447.45,0,4,2,4,3,0,1.0,0.5416666666666667,0.6126315789473684,0.7850263157894737,0,Medium
Male,0,Yes,Yes,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.05,1263.9,0,0,1,0,1,0,0.0,0.13888888888888884,0.1688421052631579,0.07543508771929823,0,Low
Female,0,No,Yes,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.95,45.95,1,0,5,0,2,0,1.0,0.9861111111111112,0.38694736842105265,0.873222807017544,1,High
Male,0,Yes,Yes,49,No,No phone service,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,39.2,1838.15,0,2,1,2,2,0,1.0,0.3194444444444444,0.33010526315789473,0.6618543859649123,0,Medium
Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,44.75,44.75,0,0,5,0,2,0,1.0,0.9861111111111112,0.37684210526315787,0.8712017543859649,0,High
Male,0,Yes,No,14,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,82.65,1185.0,0,2,3,2,3,1,1.0,0.8055555555555556,0.6960000000000001,0.8808666666666667,0,High
Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),93.9,1743.9,0,3,3,3,4,0,1.0,0.75,0.7907368421052632,0.8831473684210527,0,High
Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,70.15,1,0,5,0,3,0,1.0,0.9861111111111112,0.5907368421052632,0.9139807017543861,1,High
Female,0,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.55,85.55,1,2,5,2,3,1,1.0,0.9861111111111112,0.720421052631579,0.9399175438596492,1,High
